,aeval1.bmp,bryanl1.bmp,chingycl1.bmp,chongpkl1.bmp,christinel2.bmp,chualsl4.bmp,eugenehol4.bmp,fatmal5.bmp,fional5.bmp,hockl5.bmp,kelvinl5.bmp,lecl5.bmp,liujwl5.bmp,lokel4.bmp,lowyfl4.bmp,lpjl4.bmp,mahskl5.bmp,maranl5.bmp,masl3.bmp,mazwanl4.bmp,mimil4.bmp,minglil5.bmp,ngkokwhyl5.bmp,nkll3.bmp,norazal5.bmp,norsuhaidahl2.bmp,ongbll5.bmp,pcll2.bmp,philipl5.bmp,roslil1.bmp,salal4.bmp,sarinal5.bmp,sitil3.bmp,suzailil5.bmp,tanwnl5.bmp,thomasl1.bmp,tickl5.bmp,tingcyl4.bmp,tonghll4.bmp,vimalal5.bmp,weecml4.bmp,winl3.bmp,yannl4.bmp,zaridahl5.bmp,zulaikahl3.bmp
aeval2.bmp,777,838,825,804,833,808,833,823,828,799,805,841,830,837,807,816,838,815,846,831,843,831,804,866,779,821,845,836,834,820,817,832,817,829,812,899,817,840,827,853,834,819,786,807,830
bryanl3.bmp,827,813,815,820,808,830,825,833,834,847,782,833,844,768,828,782,832,804,827,838,840,841,792,811,822,809,823,811,820,811,852,832,824,824,822,894,816,830,836,824,809,853,798,831,796
chingycl3.bmp,827,822,793,814,815,818,834,832,822,816,803,832,830,820,826,836,804,818,810,826,829,845,791,816,816,809,838,837,849,790,790,826,830,824,817,918,836,799,809,820,825,851,822,829,831
chongpkl3.bmp,821,824,829,768,827,837,815,826,814,816,822,844,829,816,816,840,827,829,822,811,843,841,808,825,816,842,840,822,845,830,836,840,833,817,835,912,831,844,795,757,824,842,832,822,816
christinel4.bmp,828,838,845,794,814,821,830,834,812,845,839,833,832,840,813,827,840,809,806,795,827,826,836,781,778,830,814,825,834,815,831,817,801,832,813,912,805,836,822,831,815,837,827,821,791
chualsl2.bmp,816,813,818,823,818,779,808,812,815,823,842,834,831,833,801,823,818,809,809,847,835,817,814,802,823,829,835,807,826,839,837,814,826,823,806,918,820,815,843,823,825,849,833,817,821
eugenehol2.bmp,849,832,825,835,838,821,832,838,825,819,834,837,836,811,835,822,841,825,821,825,819,834,821,843,822,828,830,855,808,842,848,846,829,837,829,922,821,836,814,817,844,835,814,804,810
fatmal2.bmp,827,794,820,802,831,820,793,745,803,831,829,843,831,814,827,822,816,773,819,826,812,818,800,823,823,833,837,827,825,782,817,791,804,827,820,915,811,799,812,821,821,846,806,795,809
fional2.bmp,810,795,812,786,820,790,839,808,819,818,821,835,825,812,828,833,781,792,820,831,833,816,824,795,817,828,830,825,830,834,846,823,819,831,815,922,841,850,831,800,835,839,812,805,822
hockl2.bmp,830,838,839,825,830,806,805,837,828,823,826,820,846,791,824,829,815,846,825,806,843,824,830,817,823,809,817,839,807,812,839,836,809,833,793,905,809,837,846,805,806,817,809,800,821
kelvinl2.bmp,827,819,849,814,831,823,817,820,808,801,820,832,816,814,820,827,820,852,821,813,828,818,821,814,818,819,820,810,817,801,829,811,827,827,840,909,818,842,832,815,788,854,811,801,804
lecl3.bmp,806,818,839,837,801,846,793,825,837,833,832,773,863,805,834,831,845,833,830,857,839,830,835,856,829,853,858,830,810,836,805,828,836,843,823,912,826,844,850,823,850,836,828,800,822
liujwl2.bmp,825,832,836,842,842,840,810,820,816,839,822,826,815,808,834,838,817,841,844,829,824,810,830,828,849,834,813,823,831,827,798,828,830,808,832,920,835,851,816,823,817,858,814,835,815
lokel2.bmp,782,748,828,834,830,787,835,803,787,838,832,852,826,788,818,786,805,819,830,833,827,808,821,810,822,800,809,821,817,806,809,846,796,785,817,917,803,829,824,828,799,847,819,801,822
lowyfl1.bmp,848,798,820,815,800,808,813,806,822,820,813,820,822,804,823,813,792,817,794,815,827,815,807,819,833,833,831,814,827,790,820,811,809,826,818,906,829,830,834,823,837,826,798,806,810
lpjl1.bmp,819,828,823,773,822,821,823,814,802,835,829,809,813,823,815,811,797,817,833,836,757,837,819,836,846,835,820,818,840,826,849,843,836,812,840,915,825,845,806,826,832,841,811,815,824
mahskl2.bmp,829,806,813,824,833,844,815,820,818,819,820,844,832,828,824,813,812,823,786,815,827,834,822,826,829,829,816,801,833,824,819,834,800,837,835,914,840,856,824,830,806,823,814,839,831
maranl1.bmp,851,834,847,852,824,856,816,813,823,845,807,864,825,796,823,814,809,821,837,832,838,836,830,831,833,836,817,831,841,836,841,836,815,840,860,919,831,851,856,836,825,834,829,840,805
masl1.bmp,810,816,835,831,829,828,822,818,828,806,825,845,814,815,793,834,822,828,754,832,801,851,773,810,844,821,819,804,822,820,840,831,829,820,798,924,817,817,820,813,842,829,831,812,816
mazwanl1.bmp,841,808,818,832,821,820,813,837,821,821,824,839,788,820,826,849,795,837,809,842,846,832,820,761,838,828,832,825,844,823,834,837,817,821,815,915,831,818,824,821,835,812,830,812,809
mimil2.bmp,814,825,827,810,821,802,817,816,813,828,812,829,808,809,818,810,806,824,807,804,773,812,807,818,825,839,809,825,807,823,819,822,835,830,797,912,817,845,816,838,820,827,807,823,818
minglil3.bmp,822,821,818,794,809,796,823,823,806,794,831,836,835,806,834,826,809,837,818,806,820,799,823,815,825,827,810,829,846,829,827,843,828,832,832,913,801,853,847,792,804,840,794,829,802
ngkokwhyl3.bmp,824,783,796,810,813,809,825,827,825,801,830,835,832,814,796,814,794,802,806,830,824,812,803,833,826,813,795,822,810,810,832,825,811,833,821,903,781,833,829,815,779,824,815,815,784
nkll1.bmp,866,861,837,835,842,842,839,846,838,821,829,841,828,832,828,858,812,846,812,805,813,832,840,830,829,804,829,841,846,848,841,846,859,792,847,935,850,878,854,831,827,863,825,843,824
norazal3.bmp,823,823,822,821,806,822,816,785,793,821,827,821,821,803,803,844,809,810,807,836,826,832,814,838,823,806,816,802,837,804,827,848,807,836,824,914,811,824,812,824,837,832,807,820,806
norsuhaidahl1.bmp,806,786,829,812,826,783,826,832,831,843,812,825,814,819,836,816,825,830,810,799,815,795,824,838,834,802,839,837,833,843,831,826,828,823,834,905,811,831,792,808,814,828,786,810,826
ongbll3.bmp,822,832,842,796,815,809,826,826,805,812,833,839,826,811,840,787,780,821,813,807,829,813,828,830,826,800,804,809,835,797,775,822,796,823,827,916,815,823,819,809,846,830,801,797,814
pcll4.bmp,822,825,793,798,826,804,847,827,822,814,804,833,817,766,837,833,834,816,818,792,820,808,811,795,834,775,819,755,835,831,835,847,799,822,841,887,837,827,780,819,833,834,816,805,815
philipl4.bmp,806,798,836,797,841,817,800,787,797,822,811,845,840,768,838,817,826,838,816,802,826,805,822,813,821,740,804,798,807,795,818,860,824,794,846,896,812,844,820,817,820,838,802,818,827
roslil2.bmp,829,824,847,843,809,820,797,818,808,816,819,810,820,832,840,802,776,822,829,811,828,816,827,823,802,829,831,816,826,797,790,827,830,834,802,903,830,854,836,783,798,836,819,821,824
salal3.bmp,838,836,840,810,844,845,819,835,836,837,835,838,856,833,862,850,839,822,829,814,835,843,861,829,810,839,841,811,838,843,825,816,825,846,850,928,841,847,826,829,834,818,848,843,841
sarinal1.bmp,853,813,815,817,830,816,810,795,807,840,827,823,841,833,823,839,827,839,821,829,832,834,820,816,834,828,821,839,811,826,831,779,841,807,816,901,846,842,842,835,817,844,816,827,841
sitil4.bmp,820,838,805,819,825,843,840,833,822,827,818,824,810,814,822,839,831,835,830,826,835,795,815,834,831,811,842,822,836,812,821,850,798,834,847,909,829,842,835,805,822,822,819,817,824
suzailil3.bmp,819,810,819,813,817,804,817,775,828,830,847,824,831,813,820,818,827,793,834,814,814,836,820,821,828,825,808,825,819,823,855,836,822,821,797,921,829,835,840,818,829,817,824,829,817
tanwnl3.bmp,806,825,811,823,833,831,820,834,824,835,818,826,809,823,832,789,826,829,818,812,821,840,834,819,789,796,832,813,824,821,832,850,816,839,824,899,810,813,830,833,807,833,831,837,805
thomasl4.bmp,830,835,797,812,804,833,822,815,808,793,807,836,817,824,795,764,818,842,808,831,766,816,827,817,811,805,815,807,813,806,810,857,817,813,847,917,838,849,827,815,840,821,816,815,827
tickl4.bmp,829,814,795,810,818,802,845,839,805,838,813,831,845,846,825,835,830,801,836,818,796,850,830,829,831,838,830,828,841,823,844,838,818,797,833,914,829,831,820,830,792,809,830,824,813
tingcyl5.bmp,831,812,816,825,849,807,793,837,831,848,830,852,837,829,791,802,853,825,777,854,862,862,832,829,854,848,799,835,807,837,849,840,833,825,824,906,826,819,825,796,834,848,801,812,841
tonghll3.bmp,834,819,838,838,838,837,831,831,819,844,848,844,841,813,848,826,832,822,826,840,797,838,831,834,834,841,817,817,828,832,810,830,833,828,814,923,819,814,800,830,847,852,821,825,814
vimalal3.bmp,847,826,826,800,801,804,798,822,797,789,820,839,822,803,827,851,826,818,813,809,784,827,815,802,798,831,828,811,817,827,830,838,814,792,819,908,827,851,801,798,808,830,777,831,821
weecml2.bmp,826,831,802,840,834,837,841,826,835,852,814,865,834,836,832,828,795,847,831,833,837,830,818,838,824,823,822,803,845,837,828,819,846,820,829,916,818,838,823,847,798,812,840,835,845
winl2.bmp,803,819,838,856,824,851,816,838,838,834,839,804,842,838,836,837,810,846,837,849,837,839,826,847,797,804,804,831,842,838,830,837,827,836,853,922,826,850,801,833,859,785,832,835,844
yannl2.bmp,816,806,829,821,814,827,837,800,812,834,824,832,822,829,829,819,815,818,828,810,832,838,815,837,812,801,785,823,817,813,827,839,837,817,802,895,806,834,798,818,800,813,821,815,796
zaridahl2.bmp,826,805,803,793,816,828,807,797,805,801,821,815,819,824,825,833,795,832,803,793,822,812,813,835,828,805,801,809,841,822,834,837,830,799,804,906,823,836,820,814,806,845,822,804,814
zulaikahl1.bmp,761,820,825,813,810,829,826,778,819,802,829,846,816,794,801,835,830,811,823,823,824,823,824,831,838,814,834,801,827,813,824,843,802,822,822,892,829,844,829,809,819,830,815,805,804
